,electricity,heat,pv,temp_air,ghi,dhi,wind_speed,pressure,temp_dew,h2_demand
2022-08-12 21:30:00+00:00,23.93370165745728,6.993690967916336,0.0,19.02982563631165,0.0,0.0,1.4529173335949903,101386.99999999996,10.536363636363632,2.3933701657457283
2022-08-12 21:45:00+00:00,23.967127841198817,6.709329942288605,0.0,19.01505875783082,0.0,0.0,1.6353245629983235,101389.99999999996,10.42727266466136,2.396712784119882
2022-08-12 22:00:00+00:00,19.988920185016468,6.218160898057249,0.0,18.496252498520143,0.0,0.0,1.5356508169903622,101393.0,10.577272727272735,1.9988920185016468
2022-08-12 22:15:00+00:00,23.99993775389157,6.218160898046335,0.0,17.501491805650847,0.0,0.0,1.6356776137992624,101400.0,10.57272727272729,2.3999937753891567
2022-08-12 22:30:00+00:00,19.99993809964508,6.218160898282804,0.0,17.437110761298896,0.0,0.0,1.5432143919324464,101403.99999999994,10.56363636363636,1.9999938099645083
2022-08-12 22:45:00+00:00,19.99987722514197,6.582603100079723,0.0,16.63765248795803,0.0,0.0,1.6255118210509316,101402.0,10.58181752614159,1.9999877225141969
2022-08-12 23:00:00+00:00,23.97790055256337,7.221212830707373,0.0,17.38636363636364,0.0,0.0,1.6952401950090206,101400.0,10.51818181817898,2.397790055256337
2022-08-12 23:15:00+00:00,19.977653631241992,7.221212830259901,0.0,17.05454545454549,0.0,0.0,1.5000000000000002,101400.0,10.59819263992131,1.9977653631241992
2022-08-12 23:30:00+00:00,23.977653631241992,7.221212830474542,0.0,16.650000000000013,0.0,0.0,1.2996459904389115,101402.0,10.38181800945356,2.3977653631241993
2022-08-12 23:45:00+00:00,19.956294947536666,7.219805752258253,0.0,16.681818190493622,0.0,0.0,1.110178272646143,101400.00000000006,10.445454545452938,1.9956294947536666
2022-08-13 00:00:00+00:00,23.911602209787816,7.217328258648195,0.0,16.190909090909088,0.0,0.0,1.1576504047666225,101397.99999999996,10.345454545454526,2.3911602209787817
2022-08-13 00:15:00+00:00,20.088397790212184,7.217328258644557,0.0,15.736363636363627,0.0,0.0,1.1049745050910524,101396.00000000004,10.399999992884172,2.0088397790212182
2022-08-13 00:30:00+00:00,23.910620012087747,7.217328258662746,0.0,15.62272727275812,0.0,0.0,1.02,101392.99999999996,10.618789931496146,2.3910620012087747
2022-08-13 00:45:00+00:00,20.0660459343344,7.577511613555544,0.0,15.490909090909078,0.0,0.0,1.22,101391.99999999996,10.39999999995979,2.00660459343344
2022-08-13 01:00:00+00:00,23.97839851025492,8.220935129666032,0.0,15.04545454545454,0.0,0.0,1.07,101386.00000000004,10.345454545081882,2.397839851025492
2022-08-13 01:15:00+00:00,19.978637200780213,8.220935130117141,0.0,14.690909090909097,0.0,0.0,1.013355473764335,101384.00000000004,10.264751718667618,1.9978637200780214
2022-08-13 01:30:00+00:00,20.0,8.220935129647842,0.0,14.613636363636369,0.0,0.0,0.9284354563875004,101386.00000000004,10.231818133461594,2.0
2022-08-13 01:45:00+00:00,28.0,11.438352834524268,0.0,14.472727272727273,0.0,0.0,0.9800000001038788,101384.00000000004,10.50045488732981,2.8
2022-08-13 02:00:00+00:00,31.841846970608454,17.213717534530588,0.0,14.122727221679634,0.0,0.0,1.070000007790005,101381.0,10.136363630583611,3.1841846970608456
2022-08-13 02:15:00+00:00,27.95729360636324,17.21371753452695,0.0,14.04545454545454,0.0,0.0,0.8799999999999999,101384.00000000004,10.172727272727268,2.795729360636324
2022-08-13 02:30:00+00:00,28.156660527922213,17.21371753429048,0.0,14.036363636363635,0.0,0.0,0.8492339739460246,101389.00000000004,10.113636363636362,2.8156660527922215
